Id,Address_State,Application_Type,Emp_Length,Emp_Title,Grade,Home_Ownership,Issue_Date,Last_Credit_Pull_Date,Last_Payment_Date,Loan_Status,Next_Payment_Date,Member_Id,Purpose,Sub_Grade,Term,Verification_Status,Annual_Income,Dti,Installment,Int_Rate,Loan_Amount,Total_Acc,Total_Payment,Emp_Length_Clean,Reliability_Score (%)
1072053,CA,INDIVIDUAL,9 years,MKC Accounting,E,RENT,44197,44544,00:00.0,Fully Paid,44242,1288686,Car,E1, 36 months,Source Verified,48000,0.0535,109.43,0.1864,3000,4,3939,9 years,65
1041756,TX,INDIVIDUAL, 1 year,barnes distribution,B,MORTGAGE,44252,44542,00:00.0,Fully Paid,44298,1272024,Car,B2, 60 months,Source Verified,42000,0.054,97.06,0.1065,4500,9,4911,1 year,70
1062608,CA,INDIVIDUAL,3 years,Studio 94 Corp,C,RENT,44394,44271,00:00.0,Fully Paid,44451,1294481,Car,C3, 36 months,Not Verified,28000,0.126,275.96,0.1465,8000,11,8637,3 years,65
1066424,PA,INDIVIDUAL,10 years,SCI Mahanoy,A,OWN,44358,44391,00:00.0,Fully Paid,44422,1291243,Car,A4, 36 months,Source Verified,59000,0.0665,172.1,0.079,5500,23,6172,10 years,80
1064589,MI,INDIVIDUAL,10 years,teltow contracting,B,MORTGAGE,44236,44271,00:00.0,Fully Paid,44302,1298401,Car,B5, 60 months,Not Verified,36000,0.1773,93.21,0.1269,4125,21,5551,10 years,80
1062734,CA,INDIVIDUAL,3 years,myrvpartsplace.com,B,RENT,44450,44268,00:00.0,Charged Off,44512,1295018,Car,B4, 36 months,Not Verified,75000,0.2288,374.26,0.1242,11200,13,4225,3 years,33.5
1020855,CA,INDIVIDUAL,5 years,henkel corporation,B,RENT,44541,44544,00:00.0,Fully Paid,44575,1249642,Car,B5, 36 months,Not Verified,48000,0.1533,268.36,0.1269,8000,15,9661,5 years,75
1060995,RI,INDIVIDUAL, 1 year,HSA-UWC,B,RENT,44541,44241,00:00.0,Charged Off,44513,1292578,Car,B4, 36 months,Source Verified,60000,0.063,400.99,0.1242,12000,14,9547,1 year,38.5
1059936,NY,INDIVIDUAL,4 years,OEC Freight,C,RENT,44478,44454,00:00.0,Fully Paid,44542,1291775,Car,C2, 36 months,Source Verified,40000,0.1869,343.09,0.1427,10000,7,11156,4 years,65
1058060,MD,INDIVIDUAL,10 years,,D,OWN,44229,44332,00:00.0,Fully Paid,44270,1289636,Car,D1, 36 months,Not Verified,40000,0.0957,176.51,0.1629,5000,13,6361,10 years,80
207910,FL,INDIVIDUAL, 1 year,,A,MORTGAGE,44204,44332,00:00.0,Charged Off,44265,183496,Car,A2, 36 months,Not Verified,120000,0.0767,69.14,0.0743,2225,20,2508,1 year,38.5
211723,MD,INDIVIDUAL,4 years,self employed,C,OWN,44204,44539,00:00.0,Charged Off,44447,211606,Car,C2, 36 months,Not Verified,72000,0.0512,262.26,0.1109,8000,8,2135,4 years,33.5
1006769,PA,INDIVIDUAL,6 years,The Mount Sinai School of Medicine,A,MORTGAGE,44511,44513,00:00.0,Charged Off,44390,1233120,Car,A3, 36 months,Not Verified,80000,0.0648,124.45,0.0751,4000,11,2479,6 years,33.5
445846,MI,INDIVIDUAL,10 years,Abbott Nutrition,A,MORTGAGE,44478,44332,00:00.0,Charged Off,44267,544784,Car,A5, 36 months,Not Verified,45000,0.152,222.41,0.0894,7000,24,6446,10 years,48.5
782425,UT,INDIVIDUAL,6 years,Five County Assoc of Governments,A,MORTGAGE,44358,44332,00:00.0,Charged Off,44420,985412,Car,A5, 36 months,Not Verified,24600,0.0785,152.42,0.089,4800,21,1978,6 years,33.5
744344,WA,INDIVIDUAL,6 years,,B,MORTGAGE,44327,44332,00:00.0,Charged Off,44240,942813,Car,B4, 36 months,Not Verified,48000,0.2357,197.83,0.1149,6000,27,3950,6 years,33.5
489679,FL,INDIVIDUAL,2 years,Synovus Bank,D,MORTGAGE,44265,44542,00:00.0,Charged Off,44420,624878,Car,D4, 36 months,Not Verified,34000,0.1486,210.07,0.157,6000,6,5986,2 years,33.5
470041,CA,INDIVIDUAL,10 years,inspired automation inc,A,OWN,44206,44267,00:00.0,Charged Off,44511,593245,Car,A1, 36 months,Not Verified,43800,0.0737,148.32,0.0705,4800,7,3210,10 years,48.5
725534,TX,INDIVIDUAL,1 year,Able Electronics,B,OWN,44297,44543,00:00.0,Charged Off,44421,920793,Car,B4, 36 months,Not Verified,48000,0.051,60.34,0.1074,1850,45,1655,1 year,38.5
783561,CA,INDIVIDUAL,6 years,La curacao,A,RENT,44358,44359,00:00.0,Charged Off,44267,986688,Car,A4, 36 months,Not Verified,48000,0.2585,186.61,0.0749,6000,16,1575,6 years,33.5
773111,WA,INDIVIDUAL,3 years,URS corp,A,RENT,44358,44300,00:00.0,Charged Off,44543,975126,Car,A5, 36 months,Not Verified,22800,0.0526,75.76,0.0849,2400,3,2278,3 years,33.5
494891,MA,INDIVIDUAL,5 years,EdgeStream Inc,B,RENT,44265,44302,00:00.0,Charged Off,44297,633723,Car,B5, 36 months,Not Verified,31000,0.0159,182.66,0.1136,5550,5,2083,5 years,43.5
743690,OK,INDIVIDUAL,3 years,Dominos Pizza,B,RENT,44327,44242,00:00.0,Charged Off,44389,942003,Car,B5, 36 months,Not Verified,45000,0.1464,332.1,0.1199,10000,18,4553,3 years,33.5
508426,OH,INDIVIDUAL, 1 year,Forum Health,B,RENT,44326,44332,00:00.0,Charged Off,44572,656002,Car,B4, 36 months,Not Verified,49800,0.174,163.68,0.1099,5000,13,3110,1 year,38.5
